address,zip_code,building_name,leasing_phone,leasing_email,website,numberofunits,year_built,number_stories,total_livable_area,market_value,owner_business_name,parcel_number,contact_confidence,source,active_listings_count,studio_count,br1_count,br2_count,br3plus_count,rent_min,rent_max,year_built_source,construction_era,website_source,lon,lat
4258-60 CHESTNUT ST,19104,Fairfax Apartments,+1 267-332-1996,,,45,2017,5,47500,13067700,4258-60 CHESTNUT STREET LP,881612550,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.208243,39.956084
109 W WILDEY ST,19123,Piazza Alta,+1 215-613-9619,,,45,1940,4,33401,5588900,"PP 109 W. WILDEY, LLC",881006600,matched,opa_license,1,0,1,0,0,1595,1595,opa_license,Pre-1950,,-75.137662,39.967433
1701 S 28TH ST,19145,AWS Senior Housing,+1 215-271-2710,,,45,2012,,44135,883600,AWS PHASE IIILP,886900856,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.190397,39.931642
2817-35 W QUEEN LN,19129,Carlton Park Apartments,+1 267-297-7980,,,44,1960,2,38740,5256300,CARLTON PARK APARTMENTS LLC ,881136000,matched,opa_license,1,0,0,1,0,1800,1800,opa_license,1950-1979,,-75.181265,40.020811
1240-62 E WASHINGTON LN,19138,Stenton Garden Apartments,+1 215-267-4252,,,44,1961,3,25926,3560300,AWBURY APT 2013 LP,881207000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.165948,40.05717
5201-19 WYNNEFIELD AVE,19131,Fairview Arms Apartments,+1 833-255-7654,,,44,1925,4,42840,4535800,FAIRWIEW ARMS ASSOC L P,881155210,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.230553,39.992142
1910-16 S 17TH ST,19145,,,,,44,1930,3,29685,4736300,1912 S. 17TH STREET CORP,881146269,none,opa_license,1,0,0,1,0,1495,1495,opa_license,Pre-1950,,-75.174498,39.926987
2701-15 WELSH RD,19152,Welshwood Apartments,+1 215-676-3440,,,44,1962,3,31975,3789400,WELSH 2007 ASSOCIATES LP,881190000,matched,opa_license,1,0,1,0,0,1325,1325,opa_license,1950-1979,,-75.028066,40.0668
1003-15 RACE ST,19107,Goldtex,+1 267-500-9025,,,44,1983,4,50100,8208200,A J DYNASTY LLC,881014605,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.156227,39.955738
1222-26 LOCUST ST,19107,The Collins Apartments,+1 267-881-0177,,,44,1892,5,41216,11271000,4525 WALNUT ASSOCIATES LP,881012200,matched,opa_license,9,0,3,6,0,1400,3495,opa_license,Pre-1950,,-75.161781,39.947594
13555 PHILMONT AVE,19116,Station Walk Apartments,+1 215-673-8330,,,44,1954,3,30144,4219400,PHILMONT INVESTORS LLC,881205000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.013741,40.131423
6100 EASTWICK AVE,19142,Inglis Apartments At Elmwood,+1 215-726-8420,,,44,2010,,51456,963600,HELP PA AFFORDABLE HOUSING I LP,886616900,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.220624,39.922245
844 N 6TH ST,19123,The Poplar,+1 215-839-1040,,,44,1960,3,25242,3605600,MARSHALL REALTY CO L P,881521140,matched,opa_license,1,0,0,1,0,2250,2250,opa_license,1950-1979,,-75.148102,39.966263
4800-20 PINE ST,19143,Olympic Tower Apartments,+1 215-536-3555,,,44,1925,3,44848,4608800,NPDF PINE ASSOCIATES LP,881145800,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.2189,39.952386
3502-08 SCOTTS LN,19129,Dobson Mills,+1 215-438-4888,,,44,1940,2,95287,6470800,C/O ELLEN CORTES,881137100,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.184656,40.007915
4224-34 OSAGE AVE,19104,The Linden University City,+1 833-326-0240,,,44,1920,4,22916,4230400,UNIVERSITY OF PENNA TRUSTEES,881122800,matched,opa_license,1,1,0,0,0,920,920,opa_license,Pre-1950,,-75.208412,39.950274
6806-28 MARTINS MILL RD,19111,Cheltenham Station Apartment Homes,+1 888-903-5467,,,43,1970,2,29418,4740500,CHELTENHAM STATION APARTMENTS LP ,881133000,matched,opa_license,1,0,0,1,0,1500,1500,opa_license,1950-1979,,-75.09314,40.056083
5840-50 N 13TH ST,19141,Eli Court,+1 267-930-1269,,,43,1930,4,21000,4165600,5824 N 13TH ST LLC,881150538,matched,opa_license,1,0,1,0,0,895,895,opa_license,Pre-1950,,-75.142056,40.042426
4207 CHESTER AVE,19104,The Linden University City,+1 833-326-0240,,https://www.newagerealtygroup.com,43,1925,4,22664,4623500,4207 CHESTER AVE LLC,881123200,matched,opa_license,7,3,4,0,0,875,1095,opa_license,Pre-1950,rentcast_api,-75.207855,39.948798
6344 N 8TH ST,19126,Eola Park Apartments,+1 844-832-1485,,,43,1958,4,34884,3486300,EOLA APARTMENTS LP,881149500,matched,opa_license,1,1,0,0,0,1155,1155,opa_license,1950-1979,,-75.134046,40.050093
4130-40 PARKSIDE AVE,19104,Marlton Residences,+1 215-879-8168,,,43,1897,,45950,2130000,BRENTWOOD PARKSIDE ASSOC,886601300,matched,opa_license,1,0,0,1,0,1550,1550,opa_license,Pre-1950,,-75.208407,39.975633
6150-52 W OXFORD ST,19151,Overbrook Tower,+1 267-219-8690,,,43,1920,5,42075,4327800,MONTE VISTA LDHA INC,881439770,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.244991,39.979464
2006-50 W OLNEY AVE,19144,Wister Court Apartments,+1 215-647-0166,,,43,1962,2,121578,60417000,MATTHEW MC MANNESS,881450990,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.155221,40.040635
6134 WAYNE AVE,19144,Wood Norton Apartment Homes,+1 855-850-9714,,,42,1925,3,57353,3363200,TULPEHOCKEN APARTMENTS INC,881211800,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.185935,40.035445
4035 CHESTNUT ST,19104,Uno on Chestnut,+1 267-215-3536,,,42,1930,6,24200,4580300,KARP MICHAEL,881117765,matched,opa_license,1,1,0,0,0,1150,1150,opa_license,Pre-1950,,-75.203808,39.956131
7412-20 STENTON AVE,19150,Chestnut Terrace Apartments,+1 215-631-3268,,,42,1960,4,47467,4833500,LEN NOR REALTY ASSOCIATES,881046500,matched,opa_license,1,0,0,1,0,1445,1445,opa_license,1950-1979,,-75.186105,40.071029
7030 RISING SUN AVE,19111,Oxford Towers Apartments,+1 814-517-7480,,,41,1972,2,38646,4798900,SUNRISE COURT LLC,881131500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.088187,40.058176
219 VINE ST,19106,The View at Old City,+1 833-981-3117,,,41,1890,4,52416,8138200,MARINERS COURT ASSOCIATES LLC,881006323,matched,opa_license,1,1,0,0,0,1571,1571,opa_license,Pre-1950,,-75.14371,39.956058
4838 PULASKI AVE,19144,Germantown Apartments,+1 267-227-1073,,,41,1963,3,38705,3143200,FERNHILL PARK APARTMENTS LP,881064500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.167505,40.022321
2809 W QUEEN LN,19129,Carlton Park Apartments,+1 267-297-7980,,https://www.baymgmtgroup/philadelphia,41,1932,4,25584,3648900,SUSTAIN QLM LP,881135975,matched,opa_license,8,1,3,4,0,995,1350,opa_license,Pre-1950,rentcast_api,-75.178954,40.022341
1222-26 ARCH ST,19107,The Ludlow Apartments,+1 215-999-7894,,https://www.maxwellrealty.com,41,1881,5,46620,5954500,1222 ARCH STREET PARTNERS LP,881014781,matched,opa_license,3,0,3,0,0,1650,1935,opa_license,Pre-1950,rentcast_api,-75.160667,39.953755
4205 CHESTER AVE,19104,The Linden University City,+1 833-326-0240,,,40,1930,4,19720,4851300,1118 SPRUCE STREET LLC,881117772,matched,opa_license,1,1,0,0,0,875,875,opa_license,Pre-1950,,-75.207685,39.948803
5423-27 LENA ST,19144,Kenyon Lofts,+1 267-554-2407,,,40,1900,2,14736,1662200,LENA STREET ASSOCIATES,886650950,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.169124,40.03555
1221 MOUNT VERNON ST,19123,Mily on Green Apartments,+1 215-995-1399,,,40,1930,3,45381,6744700,1221 MT VERNON STREET LP,881068250,matched,opa_license,1,0,1,0,0,1695,1695,opa_license,Pre-1950,,-75.158299,39.964152
600 CHURCH LN,19144,Church lane court,+1 215-310-7333,,,40,1935,2,34463,3940100,"600 E CHURCH LANE PARTNERS, LLC",881058105,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.163056,40.040675
222 CHURCH ST,19106,The National Old City Apartments,+1 215-278-9885,,https://premier.pennsylvania.remax.com,40,1849,6,50816,10351300,MARKET 222 CHURCH LLC,881005510,matched,opa_license,1,0,1,0,0,1875,1875,opa_license,Pre-1950,rentcast_api,-75.144824,39.950406
713-17 RHAWN ST,19111,Park Chase Apartments,+1 215-742-8895,,,40,1960,3,27156,4579400,GAIL COURT LP,881224200,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.078373,40.074877
5101-07 N 12TH ST,19141,Lindley Court Apartments,+1 215-457-1336,,,40,1920,4,25964,3094300,5101 N 12TH STREET ASSOCIATES,881151100,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.142526,40.030318
45-49 E CLIVEDEN ST,19119,6610 at Pelham Place,+1 855-514-4239,,,40,1925,4,26220,3367900,45 CLIVEDEN LLC,881094600,matched,opa_license,2,0,2,0,0,1350,1350,opa_license,Pre-1950,,-75.18222,40.048036
315 S 50TH ST,19143,Olympic Tower Apartments,+1 215-536-3555,,,40,1951,4,24552,3252600,PARKSIDE WALNUT LLC,881215300,matched,opa_license,1,1,0,0,0,975,975,opa_license,1950-1979,,-75.221846,39.953506
4203 CHESTER AVE,19104,The Linden University City,+1 833-326-0240,,,40,1920,4,19720,4572800,GREENZANG PROPERTIES LLC VI,881123100,matched,opa_license,1,0,1,0,0,1075,1075,opa_license,Pre-1950,,-75.207523,39.948809
4725-27 CHESTER AVE,19143,University Court on Chester Apartments,+1 215-921-5486,,,40,1925,4,21612,3674100,SHORE LARRY,881143945,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.215357,39.945393
6761-63 RIDGE AVE,19128,The Onyx,,,,40,2013,,35916,770800,"FSH, L.P.",886810681,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.225041,40.04167
2619-31 S 19TH ST,19145,Oregon Arms,,,,40,1963,3,29625,4371000,DELANCEY OREGON ASSOCIATES LP,881111500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.178722,39.918501
76-88 COLLOM ST,19144,Wister Apartments,+1 215-842-0740,,,40,1993,5,37776,2879300,ELDERS PLACE II AGT,881070440,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.164469,40.031906
4815 LOCUST ST,19139,Olympic Tower Apartments,+1 215-536-3555,,,40,1925,5,30624,4575600,MAGDIM TOWERS INC,881143856,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.219115,39.955209
3412 SPRING GARDEN ST,19104,Springline on 36th Apartments,+1 215-921-5486,,,40,1920,4,19624,4166300,3412 SPRING GARDEN PARTNERS,881108160,matched,opa_license,1,1,0,0,0,990,990,opa_license,Pre-1950,,-75.19225,39.96257
6200 EASTWICK AVE,19142,Inglis Apartments At Elmwood,+1 215-726-8420,,,40,2006,,40140,919800,INGLIS APARTMENTS AT ELMWOOD LP,886617000,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.221427,39.921058
5217-41 COTTAGE ST,19124,Cottage Court Apartments,+1 267-412-2082,,,40,1969,3,33000,2857000,SHERI LYNN ENTERPRISES INC,881223000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.070421,40.016984
6100-18 NASSAU RD,19151,Overbrook Tower,+1 267-219-8690,,,40,1926,4,48000,4528400,6100 NASSAU HOLDINGS LP,881125620,matched,opa_license,1,0,0,1,0,1250,1250,opa_license,Pre-1950,,-75.242959,39.97913
7441-57 LIMEKILN PIKE,19138,Elkins Court Apartments,,,,40,1961,3,34805,3125400,ROBERT COURT ASSOCIATES L P,881151000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.159088,40.068146
7314-20 ALGON AVE,19111,Algon Gardens,+1 215-267-4362,,,40,1962,3,32034,3412900,7500 ALGON AVE ASSOC LP,881166800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.072793,40.056254
15 BANK ST,19106,Chancery Lane Apartments,+1 267-499-4887,,,40,1800,4,33000,6003600,C/O ASI MANAGEMENT,881007610,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.144743,39.949332
5025 N 15TH ST,19141,Lindley Court Apartments,+1 215-457-1336,,,40,1962,4,52765,3432700,NORTH FIFTEENTH ST HOUSING,881073500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.147851,40.030018
2331 N 58TH ST,19131,Overbrook Court Apartments,+1 610-476-4909,,,40,1927,3,43200,4908500,OVERBROOK INVESTMENT GOUP,881155940,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.24073,39.99115
4411-21 SPRUCE ST,19104,Fairfax Apartments,+1 267-332-1996,,,40,1930,3,28344,4438100,SIMON ASSOCIATES*,881122300,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.211115,39.953128
2400 BENSON ST,19152,Pennypack Crossing,+1 877-879-5992,,,40,1963,4,72480,8187800,PAUL COHEN ,881174500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.044314,40.061546
2401 BENSON ST,19152,Pennypack Crossing,+1 877-879-5992,,,40,1963,4,38112,4548900,PAUL COHEN,881174550,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.043894,40.062077
4804-06 CHESTER AVE,19143,University Court on Chester Apartments,+1 215-921-5486,,,39,1950,4,24488,2354200,SBG MANAGEMENT,881822400,matched,opa_license,4,1,3,0,0,850,1195,opa_license,1950-1979,,-75.215477,39.94454
1404-38 N 15TH ST,19121,The Greenery Apartments,+1 267-530-1047,,,39,1982,3,38940,4110100,NIX HOME INVESTORS LP,881146250,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.16069,39.975515
7212-24 HAVERFORD AVE,19151,Haverford Court Apartments,+1 855-998-6708,,,39,1962,3,24326,4307400,HAVERFORD PLACE LLC,881127000,matched,opa_license,1,0,1,0,0,1225,1225,opa_license,1950-1979,,-75.261216,39.97439
3131 MASTER ST,19121,The Hub at 31 Brewerytown,+1 267-419-7667,,,39,2019,4,27180,6474300,WESTRUM BT2 LP,881822818,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.187077,39.978195
1025 ARCH ST,19107,The Ludlow Apartments,+1 215-999-7894,,,39,1900,8,60607,7468300,"TK DEVELOPMENT,LLC",881014779,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.157359,39.954023
5050-58 WYNNEFIELD AVE,19131,Bryn Mawr Apartments,+1 877-783-1908,,,39,1962,4,34392,4215000,BRYNFIELD COURT ASSOC L P,881155200,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.227071,39.991194
4901 OXFORD AVE,19124,Grand Leiper Apartments,+1 866-488-3650,,,39,1940,2,33406,3064400,OXFORD PORTFOLIO LLC,881106500,matched,opa_license,1,0,1,0,0,1175,1175,opa_license,Pre-1950,,-75.083906,40.02077
262 E CLIVEDEN ST,19119,Magnolia Court Apartments,+1 267-388-4891,,,39,1967,3,37128,3329500,262 CLIVEDEN LLC,881095000,matched,opa_license,1,0,1,0,0,1495,1495,opa_license,1950-1979,,-75.17856,40.050795
2810-28 N LAMBERT ST,19132,Woodstock Mutual Homes,+1 215-228-2920,,,39,1981,3,36600,4463600,WOODSTOCK COOPERATIVE,886602100,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.165135,39.997534
130-34 ARCH ST,19106,The National Old City Apartments,+1 215-278-9885,,https://null,39,1900,5,39159,6539100,CHANCERY LANE PARNTERS,881007450,matched,opa_license,4,0,3,1,0,1695,2375,opa_license,Pre-1950,rentcast_api,-75.142991,39.951641
4141 SPRUCE ST,19104,Fairfax Apartments,+1 267-332-1996,,,39,1930,4,33504,4634800,NPDF CHESTER ASSOCIATES L P,881121405,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.206459,39.952349
1429 N 15TH ST,19121,The Greenery Apartments,+1 267-530-1047,,,38,1915,4,20200,2387900,TEMPLETON PROPERTIES II LP,881146110,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.159904,39.975606
2465 N 50TH ST,19131,Bala Apartments,+1 267-805-5211,,,38,1962,3,48126,3987900,MICHAEL WOODWARD AGT,881155800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.227267,39.999592
1328-36 PINE ST,19107,1316 Pine Street Apartments,+1 267-432-7288,,,38,1920,6,21391,5699600,"RITTENHOUSE PORTFOLIO ASSOCIATES, LLC",881019600,matched,opa_license,1,1,0,0,0,975,975,opa_license,Pre-1950,,-75.164185,39.945266
1625-35 HOFFNAGLE ST,19152,Pearl Gate Apartments,+1 267-641-6892,,,38,1962,3,25800,3630500,PEARL GATE APARTMENTS LP,881174100,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.058346,40.069039
8020 ALGON AVE,19152,Meadowview Apartments,+1 610-320-1066,,,38,1963,4,50840,6313200,MEADOWVIEW APTS LP,881183500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.062812,40.067278
5501-09 WAYNE AVE,19144,Fairfax Apartments in Germantown,+1 215-848-8313,,,38,1914,4,56500,3751800,FRIENDS OF THE FAIRFAX,881062010,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.176674,40.031076
4927 WYNNEFIELD AVE,19131,Wynnefield Terrace,+1 267-494-6124,,,37,1928,2,37216,4155700,IS 4927 WYNNEFIELD LLC,881155125,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.224158,39.991797
7020 N BROAD ST,19126,Mandela Apartments,+1 215-310-7333,,,37,1966,4,33000,3264500,SYV LLC,881053100,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.140568,40.06042
843-47 N 12TH ST,19123,Veranda Apartments,+1 267-761-5111,,,37,1927,4,48768,810300,"HELP PA V, LP",886669000,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.155599,39.968366
2217 N 51ST ST,19131,Bryn Mawr Apartments,+1 877-783-1908,,,36,1926,4,20640,3169500,BANKS DANIEL & JACQUELYN,881155930,matched,opa_license,5,2,3,0,0,975,1350,opa_license,Pre-1950,,-75.227688,39.990537
6001 N 17TH ST,19141,The Granada Apartments,,,,36,1925,4,28800,2288600,TEVEL 6100 LLC,881074015,matched,opa_license,4,0,4,0,0,1175,1250,opa_license,Pre-1950,,-75.147907,40.045403
8049 PINE RD,19111,Fox Chase Gardens,+1 215-779-4815,,,36,1955,3,25305,3515100,SCALZO MICHAEL,881223510,matched,opa_license,1,0,1,0,0,1425,1425,opa_license,1950-1979,,-75.083443,40.078513
1516 N 15TH ST,19121,The Greenery Apartments,+1 267-530-1047,,,36,2012,4,31452,5364800,1516-18 N 15TH STREET LP,881146270,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.160458,39.976673
4214 LONGSHORE AVE,19135,Longshore Apartments,+1 215-310-7333,,,36,1962,3,21257,3584100,WALKER COURT HOLDINGS LLC,881166700,matched,opa_license,1,0,1,0,0,1200,1200,opa_license,1950-1979,,-75.047237,40.030665
20 N FRONT ST,19106,The National Old City Apartments,+1 215-278-9885,,,36,1830,5,58000,7558400,GEOFF FLOURNEY,881003335,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.142221,39.950567
3510-30 SCOTTS LN,19129,Sherman Mills,+1 215-991-7601,,,36,1900,4,126339,8699700,SCOTTS MILLS LP,881137200,matched,opa_license,1,1,0,0,0,1316,1316,opa_license,Pre-1950,,-75.185682,40.007402
6935 N 15TH ST,19126,Bromley House Apartments,+1 844-231-1823,,,36,1965,2,28933,3042900,AIN LP,881053180,matched,opa_license,1,0,1,0,0,1000,1000,opa_license,1950-1979,,-75.141446,40.058871
1600-10 N 15TH ST,19121,Oxford Village Apartments,+1 215-765-3134,,,36,1925,3,21207,5096600,RISE MANAGEMENT,881146248,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.160078,39.977783
6640 SPRAGUE ST,19119,Ardleigh Gardens Apartments,+1 267-415-4064,,,36,1920,4,44952,5145500,PHILCARD PROPERTIES,881096600,matched,opa_license,1,1,0,0,0,895,895,opa_license,Pre-1950,,-75.178001,40.058098
30-34 S FRONT ST,19106,Waterfront II,+1 215-351-1535,,https://www.maxwellrealty.com,35,1900,5,48320,7688300,"30-34 SOUTH FRONT STREET ASSOCIATES, LLC",881003337,matched,opa_license,2,0,2,0,0,1750,1750,opa_license,Pre-1950,rentcast_api,-75.142793,39.948754
5031 RACE ST,19139,Aspen Village Apartments,,,,35,1930,,32670,1908800,DUNLAP MANAGEMENT PARTNERS LP,886600800,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.221682,39.963093
3017-45 W OXFORD ST,19121,The Hub at 31 Brewerytown,+1 267-419-7667,,,35,1900,4,30612,3240700,SARTAIN MANAGEMENT PARTNERS LP,881439760,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.184671,39.981034
701-07 SANSOM ST,19106,The Ledger Residences by Sosuite - Old City,+1 833-533-4371,,https://null,35,1890,6,37786,5985400,701 SANSOM ST PARTNERS,881010950,matched,opa_license,4,0,4,0,0,1715,1885,opa_license,Pre-1950,rentcast_api,-75.152701,39.94881
3307-39 WALLACE ST,19104,University City Philadelphia Apartments,+1 267-219-5949,,,35,1994,,31581,861000,AGT:COMMUNITY PROPERTY MGT INC,886810742,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.191276,39.965575
360 E TULPEHOCKEN ST,19144,Duval Arms,+1 267-641-5381,,,34,1930,3,27123,3051800,DUVAL ARMS LP,881211310,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.174343,40.046629
4233 CHESTNUT ST,19104,Uno on Chestnut,+1 267-215-3536,,,34,2021,7,232225,55812900,KALIDAVE LTD PARTNERSHIP,881612425,matched,opa_license,0,,,,,,,opa_license,2020+,,-75.207947,39.956745
5001-19 GAINOR RD,19131,Bryn Mawr Apartments,+1 877-783-1908,,,34,1939,2,28941,3504900,WYNMAWR COURT ASSOC L P,881155980,matched,opa_license,1,1,0,0,0,1125,1125,opa_license,Pre-1950,,-75.22706,39.990245
5516-22 HAVERFORD AVE,19139,Haverford Apartments,+1 215-712-8580,,,34,1925,4,21640,3074100,HAVERFORD APARTMENTS LP,881004920,matched,opa_license,1,0,1,0,0,1171,1171,opa_license,Pre-1950,,-75.230596,39.966776
4800 BROWN ST,19139,West Village,+1 215-877-7733,,https://www.ocfrealty.com,34,1925,3,48059,4180500,WEST VILLAGE APARTMENT LOFT LLC,881054550,matched,opa_license,10,0,10,0,0,1233,1425,opa_license,Pre-1950,rentcast_api,-75.217204,39.96592
1039-55 FRANKFORD AVE,19125,Frankford Lofts,+1 267-930-2895,,,34,1925,4,52000,4070900,FRANKFORD LOFTS LP,881006090,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.134139,39.967345
2740-50 AXE FACTORY RD,19152,Holme Circle Apartments,+1 215-677-8809,,,34,1960,3,48600,6872800,HOLME CIRCLE APARTMENTS 2010 LP,881191000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.03085,40.058367
2800-20 AXE FACTORY RD,19152,Holme Circle Apartments,+1 215-677-8809,,,34,1960,3,24300,4046200,HOLME CIRCLE APARTMENTS 2010 LP,881191001,matched,opa_license,1,0,1,0,0,1175,1175,opa_license,1950-1979,,-75.029651,40.057684
8000-20 DITMAN ST,19136,8030 Ditman St Apt 3A,,,,34,1960,,28512,744600,"NORTHEAST II-DITMAN ASSOCIATES, LP",886761651,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.0254,40.036813
2100 GLENDALE AVE,19152,Northeast Apartments,+1 215-333-5522,,,34,1960,3,30096,3410600,NORTHEAST APARTMENT ASSOCIATION LP,881171600,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.057361,40.055189
1011 N HANCOCK ST,19123,Carriage Wheel Lofts,+1 267-804-7188,,http://thesomersteam.com/about/sean-dundon/297,33,1900,4,52260,8782800,DEL CAMPO LCP LLC,881006615,matched,opa_license,2,0,0,2,0,1699,2000,opa_license,Pre-1950,rentcast_api,-75.139073,39.965506
9305 ASHTON RD,19114,Sandalwood Apartments,+1 215-676-4169,,,33,1965,3,41382,5697300,"REAL PROPERTIES, MGR J. LIPNER",881192800,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.018389,40.065619
5630-40 WYALUSING AVE,19131,Haverford Apartments,+1 215-712-8580,,,33,1902,3,29990,2045800,AGNT:CHARLENE RAWLINSON,886651600,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.233434,39.96831
222-26 RACE ST,19106,The National Old City Apartments,+1 215-278-9885,,,33,1885,4,25920,4344900,PFEIFFER HOUSE LTD,881007200,matched,opa_license,1,0,1,0,0,1695,1695,opa_license,Pre-1950,,-75.143774,39.953627
45 W HAINES ST,19144,Maple Village,+1 215-240-7765,,,33,2020,4,31062,3873100,SDG TCG 45-47 W HAINES LLC,881097350,matched,opa_license,4,0,4,0,0,1450,1850,opa_license,2020+,,-75.178348,40.03757
2333-47 FAIRMOUNT AVE,19130,Green Street Apartments,,,,33,2018,5,35236,7781800,LOONSTYN HOLDINGS LP,881808633,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.176565,39.967623
131 S 48TH ST,19139,Olympic Tower Apartments,+1 215-536-3555,,,33,1922,4,24000,3059000,PARKSIDE WALNUT LLC,881214550,matched,opa_license,1,0,1,0,0,1195,1195,opa_license,Pre-1950,,-75.217224,39.956498
4514 PINE ST,19143,Spruce Square,+1 215-246-0606,,,33,1925,4,18000,3192300,PINE TOWER,881144070,matched,opa_license,1,1,0,0,0,1095,1095,opa_license,Pre-1950,,-75.213032,39.951659
101-03 W WALNUT LN,19144,The Lennox Apartments,+1 215-650-6530,,,33,1929,4,30063,2852700,6100 MCCALLUM LLC,881211450,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.180478,40.039213
500-02 W CHELTEN AVE,19144,Hathaway House Apartments,+1 267-697-5641,,,33,1927,4,40560,2931400,OH CHELTEN PARTNERS LP,881058300,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.182525,40.027709
4518-22 OSAGE AVE,19143,Spruce Square,+1 215-246-0606,,,33,1950,3,43650,2275900,NEW HORIZONS WEST END LLC,881143934,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.213508,39.950939
4400-16 SPRUCE ST,19104,Fairfax Apartments,+1 267-332-1996,,,33,1925,4,47250,5634500,SIMON ASSOCIATES LIMITED,881122600,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.211088,39.952408
6320-42 KEYSTONE ST,19135,,,,,33,1970,3,17625,2300100,ALPAN DEVELOPERS INC,881142800,none,opa_license,0,,,,,,,opa_license,1950-1979,,-75.050424,40.01872
1701-23 N 6TH ST,19122,Studiohouse,+1 267-808-2757,,,32,1902,3,35625,4307300,32 LOFTS LIMITED PARTNERSHIP,881006700,matched,opa_license,1,1,0,0,0,1495,1495,opa_license,Pre-1950,,-75.144954,39.977335
1320-26 FOULKROD ST,19124,Grand Leiper Apartments,+1 866-488-3650,,,32,1925,4,20000,2131800,1320 FOULKROD LLC,881222700,matched,opa_license,1,0,1,0,0,1115,1115,opa_license,Pre-1950,,-75.086658,40.019809
918 N BROAD ST,19130,Fairmount Square,+1 215-490-9339,,http://tcsgroup.com,32,2024,8,37520,8332000,COMMUNITY CORRECTIONS CORP,881439500,matched,opa_license,17,2,10,5,0,1475,2495,opa_license,2020+,rentcast_api,-75.160068,39.970898
